ASIN	ASIN Description	GL CODE	Produce Group Label	Category Code	Category Label	Subcategory Code	Subcategory Label	Brand Name	Item Name
B00ANKUVN8	325>32500800>32500882	325	Grocery	32500800	0800 Grocery	32500882	0882 Pet - Moist Cat Food & Treats	Purina Friskies	Friskies Purina Party mix Beachside Crunch, 6 oz
B00BI3W4X4	199>19900100>19900111	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900111	0111 Cat Treats	Purina Friskies	Purina Friskies Party Mix Cat Treats, Egg, Bacon & Cheese, 2.1 Ounce (Pack of 10)
B00BI40BNI	199>19900100>19900111	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900111	0111 Cat Treats	Purina Friskies	Purina Friskies Made in USA Facilities Cat Treats, Party Mix California Crunch With Chicken - (10) 2.1 oz. Pouches
B00BI45P02	199>19900100>19900111	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900111	0111 Cat Treats	Purina Friskies	Purina Friskies Made in USA Facilities Cat Treats; Party Mix Meow Luau Crunch - (10) 2.1 oz. Pouches
B00D9DUUGE	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina 12-Pack Friskies Meaty Bits Chicken Gravy Wet Cat Food, 13.5-Ounce
B00DSAJBY0	199>19900100>19900103	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900103	0103 Dog Dehydrated & Freeze-Dried Food	Purina Friskies	Purina Friskies Pate Wet Cat Food, Poultry Platter - (12) 13 oz. Cans
B00FMZE2FW	199>19900100>19900111	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900111	0111 Cat Treats	Purina Friskies	Purina Friskies Made in USA Facilities Cat Treats; Party Mix Beachside Crunch - 10 oz. Pouch
B00FMZE68U	199>19900100>19900111	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900111	0111 Cat Treats	Purina Friskies	Purina Friskies Made in USA Facilities Cat Treats; Party Mix Original Crunch - 10 oz. Pouch (Pack of 4)
B00HATCB5G	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Friskies Wet Cat Food, Classic Pate, 3-Flavor Variety Pack, 5.5-Ounce Can, Pack of 12
B00HATCFRU	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Friskies Wet Cat Food, Meaty Bites, 3-Flavor Variety Pack, 5.5-Ounce Can, Pack Of 12
B00HMZDF6C	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Gravy Wet Cat Food, Extra Gravy Chunky With Turkey in Savory Gravy - (24) 5.5 oz. Cans
B00HMZDFCQ	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Gravy Wet Cat Food, Extra Gravy Chunky With Salmon in Savory Gravy - 5.5 oz. (24) Cans
B00HMZDFHQ	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Gravy Wet Cat Food, Extra Gravy Chunky With Beef in Savory Gravy - (24) 5.5 oz. Cans
B00HMZDFJO	199>19900100>19900108	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900108	0108 Cat Wet Food	Purina Friskies	Purina Friskies Gravy Wet Cat Food, Extra Gravy Chunky With Chicken in Savory Gravy - (24) 5.5 oz. Cans
B00HN089DK	199>19900100>19900111	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900111	0111 Cat Treats	Purina Friskies	Purina Friskies Party Mix Meow Luau Crunch Adult Cat Treats - 6 Oz. Pouches (Pack of 7)
B00HN089DU	199>19900100>19900107	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900107	0107 Cat Dry Food	Purina Friskies	Purina Friskies Dry Cat Food, Surfin' & Turfin' Favorites - 22 lb. Bag
B00HN089EO	199>19900100>19900107	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900107	0107 Cat Dry Food	Purina Friskies	Purina Friskies Dry Cat Food, Seafood Sensations - 22 lb. Bag (00050000290833)
B00HN08BBA	199>19900100>19900111	199	Pet Products	19900100	0100 Pet Food & Feeding Supplies	19900111	0111 Cat Treats	Purina Friskies	Purina Friskies Made in USA Facilities Cat Treats; Party Mix Mixed Grill Crunch - 10 oz. Pouch (Pack of 4)
